ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC

Agency Name,State Name [District] Latest available year,State Name [District] 2016-17,Agency Name [District] 2016-17,Agency ID - NCES Assigned [District] Latest available year,Total Current Expenditures (TCURELSC) per Pupil (V33) [District Finance] 2016-17,Fall Membership (V33) [District Finance] 2016-17
LUZERNE IU 18,Pennsylvania,PENNSYLVANIA,Luzerne IU 18,4289280,†,–
LYCEE FRANCAIS DE LA NOUVELLE-ORLEANS,Louisiana,LOUISIANA,Lycee Francais de la Nouvelle-Orleans,2200159,10804,715
LYCOMING CAREER AND TECHNOLOGY CENTER,Pennsylvania,PENNSYLVANIA,Lycoming CTC,4289393,†,†
LYFORD CISD,Texas,TEXAS,LYFORD CISD,4828620,11650,1569
LYLE PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,LYLE PUBLIC SCHOOL DISTRICT,2718360,10768,319
LYLE SCHOOL DISTRICT,Washington,WASHINGTON,Lyle School District,5304590,13673,245
LYMAN SCHOOL DISTRICT 42-1,South Dakota,SOUTH DAKOTA,Lyman School District 42-1,4644770,12397,431
LYME CENTRAL SCHOOL DISTRICT,New York,NEW YORK,LYME CENTRAL SCHOOL DISTRICT,3617880,20953,344
LYME SAU OFFICE,New Hampshire,NEW HAMPSHIRE,Lyme SAU Office,3300023,†,–
LYME SCHOOL DISTRICT,New Hampshire,NEW HAMPSHIRE,Lyme School District,3304500,14824,296
LYNBROOK UNION FREE SCHOOL DISTRICT,New York,NEW YORK,LYNBROOK UNION FREE SCHOOL DISTRICT,3617910,26493,2830
LYNCH PUBLIC SCHOOLS,Nebraska,NEBRASKA,LYNCH PUBLIC SCHOOLS,3173170,34882,51
LYNCHBURG CITY PUBLIC SCHOOLS,Virginia,VIRGINIA,LYNCHBURG CITY PBLC SCHS,5102340,12820,8477
LYNCHBURG-CLAY LOCAL,Ohio,OHIO,Lynchburg-Clay Local,3904763,10184,1196
LYNCOURT UNION FREE SCHOOL DISTRICT,New York,NEW YORK,LYNCOURT UNION FREE SCHOOL DISTRICT,3617940,19891,412
LYND PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,LYND PUBLIC SCHOOL DISTRICT,2718390,11766,197
LYNDEN SCHOOL DISTRICT,Washington,WASHINGTON,Lynden School District,5304620,10651,3253
LYNDHURST PUBLIC SCHOOL DISTRICT,New Jersey,NEW JERSEY,Lyndhurst School District,3409210,16673,2495
LYNDON,Kansas,KANSAS,Lyndon,2009000,11227,441
LYNDON SCHOOL DISTRICT,Vermont,VERMONT,Lyndon School District,5005310,7422,711
LYNDONVILLE CENTRAL SCHOOL DISTRICT,New York,NEW YORK,LYNDONVILLE CENTRAL SCHOOL DISTRICT,3617970,18008,652
LYNN,Massachusetts,MASSACHUSETTS,Lynn,2507110,13955,15472
LYNNFIELD,Massachusetts,MASSACHUSETTS,Lynnfield,2507140,15511,2223
LYNNVILLE-SULLY COMM SCHOOL DISTRICT,Iowa,IOWA,Lynnville-Sully Comm School District,1918030,10343,495
LYNWOOD UNIFIED,California,CALIFORNIA,Lynwood Unified,0623160,11869,14497
LYON,Nevada,NEVADA,LYON COUNTY SCHOOL DISTRICT,3200300,10741,8348
LYON COUNTY,Kentucky,KENTUCKY,Lyon County,2103690,9286,927
LYONS,Kansas,KANSAS,Lyons,2009030,15614,859
LYONS CENTRAL SCHOOL DISTRICT,New York,NEW YORK,LYONS CENTRAL SCHOOL DISTRICT,3618030,23107,971
LYONS SD 103,Illinois,ILLINOIS,Lyons SD 103,1723850,14716,2510
LYONS TWP HSD 204,Illinois,ILLINOIS,Lyons Twp HSD 204,1723880,21253,4046
LYONS-DECATUR NORTHEAST SCHS,Nebraska,NEBRASKA,LYONS-DECATUR NORTHEAST SCHS,3173210,16472,269
LYTLE ISD,Texas,TEXAS,LYTLE ISD,4828650,10620,1600
M.E.T.S. CHARTER SCHOOL,New Jersey,NEW JERSEY,M.E.T.S. CHARTER SCHOOL,3400753,15377,514
MA ACADEMY FOR MATH AND SCIENCE,Massachusetts,MASSACHUSETTS,Ma Academy for Math and Science,2500036,†,97
MABANK ISD,Texas,TEXAS,MABANK ISD,4828680,8591,3459
MABEL-CANTON PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,MABEL-CANTON PUBLIC SCHOOL DIST.,2718540,9781,278
MABTON SCHOOL DISTRICT,Washington,WASHINGTON,Mabton School District,5304650,11795,909
MACCRAY SCHOOL DISTRICT,Minnesota,MINNESOTA,MACCRAY SCHOOL DISTRICT,2700091,11910,702
MACDOWELL PREPARATORY ACADEMY,Michigan,MICHIGAN,International Preparatory Academy - MacDowell Campus,2601033,8594,325
MACHIAS PUBLIC SCHOOLS,Maine,MAINE,Machias Public Schools,2307710,20706,265
MACHIASPORT PUBLIC SCHOOLS,Maine,MAINE,Machiasport Public Schools,2300067,6583,127
MACKAY JOINT DISTRICT,Idaho,IDAHO,MACKAY JOINT DISTRICT,1601900,9461,204
MACKINAC ISLAND PUBLIC SCHOOLS,Michigan,MICHIGAN,Mackinac Island Public Schools,2622230,22893,75
MACKINAW CITY PUBLIC SCHOOLS,Michigan,MICHIGAN,Mackinaw City Public Schools,2622260,15766,145
MACKS CREEK R-V,Missouri,MISSOURI,MACKS CREEK R-V,2919380,9833,324
MACKSVILLE,Kansas,KANSAS,Macksville,2009060,15230,248
MACOMB,Oklahoma,OKLAHOMA,MACOMB,4018660,9108,268
MACOMB ACADEMY,Michigan,MICHIGAN,Macomb Academy,2600101,23711,76
MACOMB CUSD 185,Illinois,ILLINOIS,Macomb CUSD 185,1723920,12744,2104
MACOMB ISD,Michigan,MICHIGAN,Macomb ISD,2680720,†,–
MACOMB MONTESSORI ACADEMY,Michigan,MICHIGAN,Macomb Montessori Academy,2601035,8194,217
MACON CO. R-I,Missouri,MISSOURI,MACON CO. R-I,2919410,9568,1317
MACON CO. R-IV,Missouri,MISSOURI,MACON CO. R-IV,2921880,15307,101
MACON COUNTY,Georgia,GEORGIA,Macon County,1303450,11434,1437
MACON COUNTY,Alabama,ALABAMA,Macon County,0102190,11859,2023
MACON COUNTY,Tennessee,TENNESSEE,Macon County,4702550,7994,3958
MACON COUNTY SCHOOLS,North Carolina,NORTH CAROLINA,Macon County Schools,3702760,9709,4384
MACON-PIATT SPEC EDUC JNT AGR,Illinois,ILLINOIS,Macon-Piatt Spec Educ Jnt Agr,1700069,†,†
MACON/PIATT ROE,Illinois,ILLINOIS,Macon/Piatt ROE,1700197,†,†
MACONAQUAH SCHOOL CORP,Indiana,INDIANA,Maconaquah School Corp,1806090,9129,2388
MACWAHOC PLT SCHOOL DEPT,Maine,MAINE,Macwahoc Plt School Dept,2307770,†,†
MAD RIVER LOCAL,Ohio,OHIO,Mad River Local,3904870,11031,4003
MADAWASKA PUBLIC SCHOOLS,Maine,MAINE,Madawaska Public Schools,2307800,15304,414
MADDOCK 9,North Dakota,NORTH DAKOTA,MADDOCK 9,3811700,18511,133
MADEIRA CITY,Ohio,OHIO,Madeira City,3904428,12912,1475
MADELIA PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,MADELIA PUBLIC SCHOOL DISTRICT,2718570,11905,547
MADERA COUNTY SUPERINTENDENT OF SCHOOLS,California,CALIFORNIA,Madera County Office of Education,0691017,38956,941
MADERA UNIFIED,California,CALIFORNIA,Madera Unified,0623340,11204,20779
MADILL,Oklahoma,OKLAHOMA,MADILL,4018700,7231,1772
MADISON,Florida,FLORIDA,MADISON,1201200,9568,2759
MADISON,Montana,MONTANA,Madison,3000048,†,†
MADISON ACADEMY,Michigan,MICHIGAN,Madison Academy,2600317,14928,428
MADISON AREA ED SPEC SRV UNIT,Indiana,INDIANA,Madison Area Ed Spec Srv Unit,1806100,†,†
MADISON AVENUE SCHOOL OF ARTS,Ohio,OHIO,Madison Avenue School of Arts,3901346,8578,554
MADISON C-3,Missouri,MISSOURI,MADISON C-3,2919840,10010,208
MADISON CENTRAL SCHOOL DISTRICT,New York,NEW YORK,MADISON CENTRAL SCHOOL DISTRICT,3618080,18245,478
MADISON CENTRAL SCHOOL DISTRICT 39-2,South Dakota,SOUTH DAKOTA,Madison Central School District 39-2,4639600,9354,1159
MADISON CITY,Alabama,ALABAMA,Madison City,0100008,9340,10440
MADISON CO CAREER & TECH ED SYS,Illinois,ILLINOIS,Madison Co Career & Tech Ed Sys,1700288,†,†
MADISON CO REG I SPEC EDUC COOP,Illinois,ILLINOIS,Madison Co Reg I Spec Educ Coop,1723985,†,†
MADISON CO SCHOOL DIST,Mississippi,MISSISSIPPI,MADISON CO SCHOOL DIST,2802790,9117,13171
MADISON CONSOLIDATED SCHOOLS,Indiana,INDIANA,Madison Consolidated Schools,1806120,10263,2914
MADISON COUNTY,Georgia,GEORGIA,Madison County,1303480,10730,4903
MADISON COUNTY,Kentucky,KENTUCKY,Madison County,2103720,8559,11877
MADISON COUNTY,Alabama,ALABAMA,Madison County,0102220,8782,19352
MADISON COUNTY,Tennessee,TENNESSEE,Madison County,4702580,8946,12890
MADISON COUNTY PUBLIC SCHOOLS,Virginia,VIRGINIA,MADISON CO PBLC SCHS,5102370,11740,1741
MADISON COUNTY SCHOOLS,North Carolina,NORTH CAROLINA,Madison County Schools,3702820,9903,2331
MADISON COUNTY VOC ADJ COUNSELING,Illinois,ILLINOIS,Madison County Voc Adj Counseling,1723990,†,†
MADISON CUSD 12,Illinois,ILLINOIS,Madison CUSD 12,1723970,17446,704
MADISON DISTRICT,Idaho,IDAHO,MADISON DISTRICT,1601920,6091,5360
MADISON DISTRICT PUBLIC SCHOOLS,Michigan,MICHIGAN,Madison District Public Schools,2622290,13807,1289
MADISON ELEMENTARY DISTRICT (4270),Arizona,ARIZONA,Madison Elementary District,0404500,7180,5824
MADISON HIGHLAND PREP (91935),ARIZONA,ARIZONA,Madison Highland Prep,0400909,8177,368
MADISON LOCAL,Ohio,OHIO,Madison Local,3904612,9517,1551
MADISON LOCAL,Ohio,OHIO,Madison Local,3904788,8873,3193
MADISON LOCAL,Ohio,OHIO,Madison Local,3904945,10830,3087
MADISON METROPOLITAN SCHOOL DISTRICT,Wisconsin,WISCONSIN,Madison Metropolitan School District,5508520,14179,26999
MADISON PARISH,Louisiana,LOUISIANA,Madison Parish,2201050,11950,1326
MADISON PUBLIC SCHOOL DISTRICT,New Jersey,NEW JERSEY,Madison Public School District,3409240,18108,2637
MADISON PUBLIC SCHOOLS,Nebraska,NEBRASKA,MADISON PUBLIC SCHOOLS,3173230,14383,517
MADISON ROE,Illinois,ILLINOIS,Madison ROE,1700198,†,†
MADISON SCHOOL DISTRICT,New Hampshire,NEW HAMPSHIRE,Madison School District,3304560,11667,303
MADISON SCHOOL DISTRICT,Connecticut,CONNECTICUT,MADISON SCHOOL DISTRICT,0902280,20672,2931
MADISON SCHOOL DISTRICT (LENAWEE),Michigan,MICHIGAN,Madison School District (Lenawee),2622320,10285,1602
MADISON-CARVER ACADEMY,Michigan,MICHIGAN,Madison-Carver Academy,2601008,9206,579
MADISON-CHAMPAIGN ESC,Ohio,OHIO,Madison-Champaign ESC,3900092,†,†
MADISON-GRANT UNITED SCHOOL CORP,Indiana,INDIANA,Madison-Grant United School Corp,1806240,9135,1291
MADISON-ONEIDA BOCES,New York,NEW YORK,MADISON-ONEIDA BOCES,3680480,†,†
MADISON-PLAINS LOCAL,Ohio,OHIO,Madison-Plains Local,3904827,12128,1184
MADISON-VIRGIL,Kansas,KANSAS,Madison-Virgil,2009090,15629,224
MADISONVILLE CISD,Texas,TEXAS,MADISONVILLE CISD,4828710,10343,2319
MADISONVILLE SMART ELEMENTARY,Ohio,OHIO,Madisonville SMART Elementary,3901449,9396,235
MADRID COMM SCHOOL DISTRICT,Iowa,IOWA,Madrid Comm School District,1918180,9836,712
MADRID-WADDINGTON CENTRAL SCHOOL DISTRICT,New York,NEW YORK,MADRID-WADDINGTON CENTRAL SCHOOL DISTRICT,3618090,19732,697
MAEF PUBLIC CHARTER SCHOOLS,ALABAMA,ALABAMA,Acceleration Day and Evening Acad,0100197,†,†
MAERCKER SD 60,Illinois,ILLINOIS,Maercker SD 60,1724000,15105,1410
MAGAZINE SCHOOL DISTRICT,Arkansas,ARKANSAS,MAGAZINE SCHOOL DISTRICT,0509150,10195,605
MAGDALENA,New Mexico,NEW MEXICO,MAGDALENA MUNICIPAL SCHOOLS,3501770,18658,360
MAGELLAN CHARTER,North Carolina,NORTH CAROLINA,Magellan Charter,3700045,8281,406
MAGGIE L. WALKER GOVERNOR'S SCHOOL,Virginia,VIRGINIA,MAGGIE L. WALKER GOV SCH,5100061,†,†
MAGNET COVE SCHOOL DIST.,Arkansas,ARKANSAS,MAGNET COVE SCHOOL DIST.,0509190,9096,728
MAGNOLIA ELEMENTARY,California,CALIFORNIA,Magnolia Elementary,0623430,11727,6277
MAGNOLIA GROVE SCHOOL,Mississippi,MISSISSIPPI,MAGNOLIA GROVE SCHOOL,2800003,†,10
MAGNOLIA ISD,Texas,TEXAS,MAGNOLIA ISD,4828740,11557,12816
MAGNOLIA SCHOOL DISTRICT,New Jersey,NEW JERSEY,Magnolia School District,3409300,17334,437
MAGNOLIA SCHOOL DISTRICT,Arkansas,ARKANSAS,MAGNOLIA SCHOOL DISTRICT,0500044,9524,2874
MAGNOLIA UNION ELEMENTARY,California,CALIFORNIA,Magnolia Union Elementary,0623460,9904,136
MAGOFFIN COUNTY,Kentucky,KENTUCKY,Magoffin County,2103750,10426,2167
MAHANOY AREA SD,Pennsylvania,PENNSYLVANIA,Mahanoy Area SD,4214430,14639,1036
MAHNOMEN PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,MAHNOMEN PUBLIC SCHOOL DISTRICT,2718660,12697,676
MAHOMET-SEYMOUR CUSD 3,Illinois,ILLINOIS,Mahomet-Seymour CUSD 3,1724060,9962,3081
MAHONING CO CAREER & TECH CTR,Ohio,OHIO,Mahoning Co Career & Tech Ctr,3905124,†,0
MAHONING COUNTY HIGH SCHOOL,Ohio,OHIO,Mahoning County High School,3901329,11161,87
MAHONING VALLEY OPPORTUNITY CENTER,Ohio,OHIO,Mahoning Valley Opportunity Center,3900639,11882,68
MAHOPAC CENTRAL SCHOOL DISTRICT,New York,NEW YORK,MAHOPAC CENTRAL SCHOOL DISTRICT,3618120,25822,4270
MAHTOMEDI PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,MAHTOMEDI PUBLIC SCHOOL DISTRICT,2718750,11462,3278
MAHWAH TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,NEW JERSEY,Mahwah Township Public School District,3409330,20773,3001
MAIDSTONE SCHOOL DISTRICT,Vermont,VERMONT,Maidstone School District,5005340,†,†
MAIN PREPARATORY ACADEMY,Ohio,OHIO,Main Preparatory Academy,3901511,13278,108
MAINE ACADEMY OF NATURAL SCIENCES,Maine,MAINE,Maine Academy of Natural Sciences,2314808,15333,147
MAINE ARTS ACADEMY,MAINE,MAINE,Snow Pond Arts Academy,2314832,11302,106
MAINE CONNECTIONS ACADEMY,MAINE,MAINE,Maine Connections Academy,2314819,8801,408
MAINE CONSOLIDATED SCHOOL DISTRICT (4199),Arizona,ARIZONA,Maine Consolidated School District,0404530,16912,136
MAINE TOWNSHIP HSD 207,Illinois,ILLINOIS,Maine Township HSD 207,1724090,26755,6398
MAINE VIRTUAL ACADEMY,MAINE,MAINE,Maine Virtual Academy,2314821,7797,354
MAINE-ENDWELL CENTRAL SCHOOL DISTRICT,New York,NEW YORK,MAINE-ENDWELL CENTRAL SCHOOL DISTRICT,3618150,17938,2478
MAINLAND REGIONAL HIGH SCHOOL,New Jersey,NEW JERSEY,MAINLAND REGIONAL HIGH SCHOOL DISTRICT,3409360,21055,1319
MAIZE,Kansas,KANSAS,Maize,2009140,7853,7349
MAKING COMMUNITY CONNECTIONS CHARTER SCHOOL,New Hampshire,NEW HAMPSHIRE,Making Community Connections Charter School,3303289,†,0
MALAKOFF ISD,Texas,TEXAS,MALAKOFF ISD,4828780,10592,1357
MALCOLM PUBLIC SCHOOLS,Nebraska,NEBRASKA,MALCOLM PUBLIC SCHOOLS,3173290,12204,535
MALDEN,Massachusetts,MASSACHUSETTS,Malden,2507170,14266,6721
MALDEN CCSD 84,Illinois,ILLINOIS,Malden CCSD 84,1724120,17000,82
MALDEN R-I,Missouri,MISSOURI,MALDEN R-I,2919890,9192,1031
MALHEUR COUNTY SD 51,Oregon,OREGON,Malheur County SD 51,4100042,†,†
MALHEUR ESD REGION 14,Oregon,OREGON,Malheur ESD Region 14,4100034,†,†
MALLARD CREEK STEM ACADEMY,NORTH CAROLINA,NORTH CAROLINA,Mallard Creek STEM Academy,3700410,6675,538
MALMBORG ELEM,Montana,MONTANA,Malmborg Elem,3017520,29750,4
MALONE CENTRAL SCHOOL DISTRICT,New York,NEW YORK,MALONE CENTRAL SCHOOL DISTRICT,3618180,18471,2357
MALONE ISD,Texas,TEXAS,MALONE ISD,4828800,9667,138
MALTA BEND R-V,Missouri,MISSOURI,MALTA BEND R-V,2919920,20184,76
MALTA ISD,Texas,TEXAS,MALTA ISD,4828830,7107,149
MALTA K-12 SCHOOLS,Montana,MONTANA,Malta K-12 Schools,3017580,12061,508
MALVERN SCHOOL DISTRICT,Arkansas,ARKANSAS,MALVERN SCHOOL DISTRICT,0509240,10568,2059
MALVERNE UNION FREE SCHOOL DISTRICT,New York,NEW YORK,MALVERNE UNION FREE SCHOOL DISTRICT,3618210,29512,1735
MAMARONECK UNION FREE SCHOOL DISTRICT,New York,NEW YORK,MAMARONECK UNION FREE SCHOOL DISTRICT,3618240,22987,5484
MAMMOTH SPRING SCHOOL DISTRICT,Arkansas,ARKANSAS,MAMMOTH SPRING SCHOOL DISTRICT,0509270,9928,487
MAMMOTH UNIFIED,California,CALIFORNIA,Mammoth Unified,0623530,12273,1213
MAMMOTH-SAN MANUEL UNIFIED DISTRICT (4439),Arizona,ARIZONA,Mammoth-San Manuel Unified District,0404570,10189,673
MANA ACADEMY CHARTER SCHOOL,Utah,UTAH,MANA ACADEMY CHARTER SCHOOL,4900165,6728,368
MANALAPAN-ENGLISHTOWN REGIONAL SCHOOL DISTRICT,New Jersey,NEW JERSEY,Manalapan-Englishtown Regional Schools School District,3409390,17422,5015
MANARA ACADEMY,Texas,TEXAS,MANARA ACADEMY,4801415,8314,917
MANASQUAN SCHOOL DISTRICT,New Jersey,NEW JERSEY,Manasquan School District,3409420,16711,1615
MANASSAS CITY PUBLIC SCHOOLS,Virginia,VIRGINIA,MANASSAS CITY PBLC SCHS,5102360,12935,7713
MANASSAS PARK CITY PUBLIC SCHOOLS,Virginia,VIRGINIA,MANASSAS PARK CITY PBLC SCHS,5102390,11125,3588
MANATEE,Florida,FLORIDA,MANATEE,1201230,8788,48884
MANAWA SCHOOL DISTRICT,Wisconsin,WISCONSIN,Manawa School District,5508550,11552,699
MANCELONA PUBLIC SCHOOLS,Michigan,MICHIGAN,Mancelona Public Schools,2622350,10319,973
MANCHESTER,Tennessee,TENNESSEE,Manchester,4702610,10547,1390
MANCHESTER ACADEMIC CS,Pennsylvania,PENNSYLVANIA,Manchester Academic CS,4200017,17018,342
MANCHESTER COMMUNITY SCHOOLS,Indiana,INDIANA,Manchester Community Schools,1806270,9809,1484
MANCHESTER COMMUNITY SCHOOLS,Michigan,MICHIGAN,Manchester Community Schools,2622380,10491,1026
MANCHESTER ESSEX REGIONAL,Massachusetts,MASSACHUSETTS,Manchester Essex Regional,2500067,17843,1413
MANCHESTER LOCAL,Ohio,OHIO,Manchester Local,3900537,12495,932
MANCHESTER LOCAL,Ohio,OHIO,Manchester Local,3905000,10781,1313
MANCHESTER SAU OFFICE,New Hampshire,NEW HAMPSHIRE,Manchester SAU Office,3399937,†,–
MANCHESTER SCHOOL DISTRICT,New Hampshire,NEW HAMPSHIRE,Manchester School District,3304590,12037,14219
MANCHESTER SCHOOL DISTRICT,Connecticut,CONNECTICUT,MANCHESTER SCHOOL DISTRICT,0902310,21185,6249
MANCHESTER SCHOOL DISTRICT,Vermont,VERMONT,Manchester School District,5005370,9209,627
MANCHESTER TOWNSHIP SCHOOL DISTRICT,New Jersey,NEW JERSEY,Manchester Township School District,3409450,19261,2977
MANCHESTER UNION ELEMENTARY,California,CALIFORNIA,Manchester Union Elementary,0623550,14872,47
MANCHESTER-SHORTSVILLE CENTRAL SCHOOL DISTRICT (RED JACKET),New York,NEW YORK,MANCHESTER-SHORTSVILLE CENTRAL SCHOOL DISTRICT (RED JACKET),3624270,17472,845
MANCOS SCHOOL DISTRICT RE-6,Colorado,COLORADO,Mancos School District Re-6,0805460,8958,501
MANDAN 1,North Dakota,NORTH DAKOTA,MANDAN 1,3811820,12101,3688
MANDAREE 36,North Dakota,NORTH DAKOTA,MANDAREE 36,3811850,25319,213
MANES R-V,Missouri,MISSOURI,MANES R-V,2919950,9175,80
MANGUM,Oklahoma,OKLAHOMA,MANGUM,4018780,8037,731
MANHASSET UNION FREE SCHOOL DISTRICT,New York,NEW YORK,MANHASSET UNION FREE SCHOOL DISTRICT,3618270,26181,3329
MANHATTAN BEACH UNIFIED,California,CALIFORNIA,Manhattan Beach Unified,0600025,12113,6776
MANHATTAN CHARTER SCHOOL,New York,NEW YORK,MANHATTAN CHARTER SCHOOL,3600137,†,271
MANHATTAN CHARTER SCHOOL II,New York,NEW YORK,MANHATTAN CHARTER SCHOOL II,3601079,†,230
MANHATTAN HIGH SCHOOL,Montana,MONTANA,Manhattan High School,3017640,12025,239
MANHATTAN SCHOOL,Montana,MONTANA,Manhattan School,3017610,8339,437
MANHATTAN SD 114,Illinois,ILLINOIS,Manhattan SD 114,1724270,9783,1435
MANHATTAN-OGDEN,Kansas,KANSAS,Manhattan-Ogden,2009180,10133,6597
MANHEIM CENTRAL SD,Pennsylvania,PENNSYLVANIA,Manheim Central SD,4214550,14396,2983
MANHEIM TOWNSHIP SD,Pennsylvania,PENNSYLVANIA,Manheim Township SD,4214580,12901,5747
MANILA SCHOOL DISTRICT,Arkansas,ARKANSAS,MANILA SCHOOL DISTRICT,0500046,9319,1115
MANISTEE AREA PUBLIC SCHOOLS,Michigan,MICHIGAN,Manistee Area Public Schools,2622410,9729,1496
MANISTEE ISD,Michigan,MICHIGAN,Manistee ISD,2680740,†,–
MANISTIQUE AREA SCHOOLS,Michigan,MICHIGAN,Manistique Area Schools,2622470,9750,808
MANITOU SPRINGS SCHOOL DISTRICT NO. 14 IN THE COUNTY OF EL,Colorado,COLORADO,Manitou Springs School District No. 14 in the county of El,0805490,10317,1488
MANITOWOC SCHOOL DISTRICT,Wisconsin,WISCONSIN,Manitowoc School District,5508610,11506,5052
MANKATO PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,MANKATO PUBLIC SCHOOL DISTRICT,2718780,10852,8661
MANNFORD,Oklahoma,OKLAHOMA,MANNFORD,4018840,7427,1571
MANNHEIM SD 83,Illinois,ILLINOIS,Mannheim SD 83,1724330,19626,2765
MANNING 45,North Dakota,NORTH DAKOTA,MANNING 45,3811970,8083,24
MANNINGTON TOWNSHIP SCHOOL DISTRICT,New Jersey,NEW JERSEY,Mannington Township School District,3409480,34487,158
MANNSVILLE,Oklahoma,OKLAHOMA,MANNSVILLE,4018870,10010,100
MANOR ISD,Texas,TEXAS,MANOR ISD,4828890,9520,8870
MANSFIELD,Massachusetts,MASSACHUSETTS,Mansfield,2507230,15411,3991
MANSFIELD CITY,Ohio,OHIO,Mansfield City,3904429,14976,3344
MANSFIELD ELECTIVE ACADEMY,Ohio,OHIO,Mansfield Elective Academy,3900525,15242,33
MANSFIELD ISD,Texas,TEXAS,MANSFIELD ISD,4828920,8747,34309
MANSFIELD R-IV,Missouri,MISSOURI,MANSFIELD R-IV,2919980,8853,660
MANSFIELD SCHOOL DISTRICT,Connecticut,CONNECTICUT,MANSFIELD SCHOOL DISTRICT,0902340,22696,1214
MANSFIELD SCHOOL DISTRICT,Washington,WASHINGTON,Mansfield School District,5304710,22265,102
MANSFIELD SCHOOL DISTRICT,Arkansas,ARKANSAS,MANSFIELD SCHOOL DISTRICT,0509330,9880,781
MANSFIELD TOWNSHIP ELEMENTARY SCHOOL DISTRICT,New Jersey,NEW JERSEY,Mansfield Township Elementary School District,3409540,16815,643
MANSFIELD TOWNSHIP SCHOOL DISTRICT,New Jersey,NEW JERSEY,Mansfield Township School District,3409510,19789,611
MANSON NORTHWEST WEBSTER COMM SCHOOL DISTRICT,Iowa,IOWA,Manson Northwest Webster Comm School District,1918330,12962,730
MANSON SCHOOL DISTRICT,Washington,WASHINGTON,Manson School District,5304740,13379,672
MANTECA UNIFIED,California,CALIFORNIA,Manteca Unified,0623610,10492,23441
MANTENO CUSD 5,Illinois,ILLINOIS,Manteno CUSD 5,1724390,11791,2148
MANTON CONSOLIDATED SCHOOLS,Michigan,MICHIGAN,Manton Consolidated Schools,2622500,9354,987
MANTUA TOWNSHIP SCHOOL DISTRICT,New Jersey,NEW JERSEY,Mantua Township School District,3409600,17118,1264
MANVEL 125,North Dakota,NORTH DAKOTA,MANVEL 125,3812000,7348,230
MANVILLE SCHOOL DISTRICT,New Jersey,NEW JERSEY,Manville Board of Education,3409630,14990,1441
MANZANITA ELEMENTARY,California,CALIFORNIA,Manzanita Elementary,0623700,9517,288
MANZANOLA JOINT DISTRICT NO. 3J OF THE COUNTIES OF OTERO A,Colorado,COLORADO,Manzanola Joint District No. 3J of the counties of Otero a,0805520,16899,129
MAPLE,Oklahoma,OKLAHOMA,MAPLE,4018900,15456,160
MAPLE CREEK ELEMENTARY,California,CALIFORNIA,Maple Creek Elementary,0623730,29333,12
MAPLE DALE-INDIAN HILL SCHOOL DISTRICT,Wisconsin,WISCONSIN,Maple Dale-Indian Hill School District,5504770,15535,486
MAPLE ELEMENTARY,California,CALIFORNIA,Maple Elementary,0623760,9185,292
MAPLE HEIGHTS CITY,Ohio,OHIO,Maple Heights City,3904430,11847,3488
MAPLE LAKE PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,MAPLE LAKE PUBLIC SCHOOL DISTRICT,2718810,10569,871
MAPLE RIVER SCHOOL DISTRICT,Minnesota,MINNESOTA,MAPLE RIVER SCHOOL DISTRICT,2700006,10908,973
MAPLE RUN SUPERVISORY DISTRICT,Vermont,VERMONT,Franklin Central Supervisory Union,5099923,†,†
MAPLE SCHOOL DISTRICT,Wisconsin,WISCONSIN,Maple School District,5508640,10851,1351
MAPLE SHADE SCHOOL DISTRICT,New Jersey,NEW JERSEY,Maple Shade School District,3409660,17485,2181
MAPLE VALLEY 4,North Dakota,NORTH DAKOTA,MAPLE VALLEY 4,3812020,19269,216
MAPLE VALLEY SCHOOLS,Michigan,MICHIGAN,Maple Valley Schools,2622620,10530,1012
MAPLE VALLEY-ANTHON OTO COMM SCHOOL DISTRICT,Iowa,IOWA,Maple Valley-Anthon Oto Comm School District,1918480,11044,698
MAPLETON 7,North Dakota,NORTH DAKOTA,MAPLETON 7,3812030,8677,164
MAPLETON LOCAL,Ohio,OHIO,Mapleton Local,3904583,9021,950
MAPLETON SCHOOL DISTRICT NO. 1 IN THE COUNTY OF ADAMS & ST,Colorado,COLORADO,Mapleton School District No. 1 in the county of Adams & St,0805550,9106,8822
MAPLETON SD 32,Oregon,OREGON,Mapleton SD 32,4107710,16718,156
MAPLEWOOD CAREER CENTER DISTRICT,Ohio,OHIO,Maplewood Career Center,3905139,†,0
MAPLEWOOD LOCAL,Ohio,OHIO,Maplewood Local,3905021,12897,720
MAPLEWOOD-RICHMOND HEIGHTS,Missouri,MISSOURI,MAPLEWOOD-RICHMOND HEIGHTS,2920010,11940,1366
